,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,elo_scores_10_listwise,elo_scores_5nano_24,label_10_listwise,label_5nano_24,elo_5nano_distance,elo_10_distance,label_5nano_binary,label_10_binary,baseline_labels,baseline_severity,baseline_elo,bt_10listwise_4rounds,bt_10listwise_6rounds,bt_10listwise_10rounds_k64,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32,bt_10listwise_4rounds_elo,bt_10listwise_6rounds_elo,bt_10listwise_10rounds_k64_elo,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo,fleiss_kappa,bt_10listwise_4rounds_elo_label,bt_10listwise_6rounds_elo_label,bt_10listwise_10rounds_k64_elo_label,bt_elo_scores_par_5nano_24round_rnd01_init1500_k32_elo_label,BT_listwise_pred_label_EM,label_bias_lower,BT_5nano24r_pred_label_EM
0,0,0,0,0,"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",https://www.foxnews.com/entertainment/australian-actress-yael-stone-giving-up-green-card-fight-climate-change,Fox News,environment,right,Non-biased,Entirely factual,[],1243.609047696739,1389.2968397426089,non-biased,non-biased,110.70316025739112,256.390952303261,non-biased,non-biased,no,0.0,1499.0,-4.955871241154016,-5.101864691684536,-4.425341813411677,-8.168647903866617,639.0769867775164,613.7153267937483,731.2393879598316,80.9605162960654,-0.200473712511822,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased,non-biased
1,1,1,1,1,"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""",https://www.alternet.org/2020/06/law-and-order-is-a-debased-concept-used-to-cover-up-right-wing-crime-and-depravity-heres-why/,Alternet,gun control,left,Biased,Somewhat factual but also opinionated,"['bizarre', 'characteristically']",1566.0965721790412,1523.4446989716794,biased,biased,23.44469897167937,66.09657217904123,biased,biased,yes,0.4,1699.0,0.1939055973564661,0.162807987005644,0.6165292902759988,1.1341057345554073,1533.6848523768267,1528.282644146531,1607.1021074794378,1697.014344964899,1.0,biased,biased,biased,biased,non-biased,biased,non-biased
2,2,2,2,2,"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071,MSNBC,white-nationalism,left,Biased,Expresses writer’s opinion,"['criminals', 'fringe', 'extreme']",1531.2632664357654,1589.2561213378517,biased,biased,89.25612133785171,31.263266435765445,biased,biased,yes,0.6,1799.0,-1.4997196379960969,-0.0404668491738143,2.447765952508842,4.75807694390109,1239.4720147265411,1492.9701882815204,1925.220498466099,2326.5626244829327,0.1996841916587852,non-biased,non-biased,biased,biased,biased,biased,biased
3,3,3,3,3,"...we sounded the alarm in the early months of Trump’s presidency, when prime-time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like “Western civilization” to package the idea that white people are inherently more civilized while people of color are a threat to national stability.",https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,Alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,[],1896.6351718071276,1630.3731799532827,biased,biased,130.37317995328272,396.63517180712734,biased,biased,no,0.2,1599.0,5.993888241559861,7.042537997342532,6.697640149734493,8.401292703329835,2541.245035381693,2723.414156335936,2663.499263521344,2959.4540247640803,-0.200473712511822,biased,biased,biased,biased,biased,biased,biased
4,4,4,4,4,"[Black Lives Matter] is essentially a non-falsifiable religious cult that sets itself specifically against Christianity, just like the French Revolution did.",http://feedproxy.google.com/~r/breitbart/~3/-vHhfcwC74U/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['cult'],2047.8377594074295,1760.4178341185648,biased,biased,260.4178341185648,547.8377594074298,biased,biased,yes,0.8,1899.0,9.88071212465141,10.67963170935568,9.861440488703588,12.962522835172472,3216.455501204265,3355.2420480528663,3213.10767514451,3751.82085554412,0.1996841916587852,biased,biased,biased,biased,biased,biased,biased
5,5,5,5,5,[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.,https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['apparent', 'crime']",1795.5307181484989,1584.6958102152755,biased,biased,84.69581021527574,295.53071814849886,biased,biased,yes,0.7,1849.0,4.257089244877174,5.1085720937359405,4.154739370407533,6.812584432689756,2239.532147207935,2387.4498682857843,2221.752152925673,2683.467130646862,0.1996841916587852,biased,biased,biased,biased,biased,biased,biased
6,6,6,6,6,[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,['obsession'],1667.7089016669015,1504.809341492733,biased,biased,4.809341492732983,167.70890166690174,biased,biased,yes,0.65,1824.0,2.1348414950025107,2.224832730471702,2.037819580803429,2.40078054310733,1870.859952407072,1886.493031200642,1854.005519622931,1917.0582968528824,-0.200473712511822,biased,biased,biased,biased,biased,biased,non-biased
7,7,7,7,7,[Newsoms's] onslaught of propaganda ignores conflicting science on mask-wearing (some studies suggest it may even increase infection) and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['propaganda', 'vilifying', 'unimpeded']",1738.743023960012,1560.2653836667075,biased,biased,60.26538366670775,238.74302396001207,biased,biased,yes,0.75,1874.0,5.057624397585833,4.553874195516121,5.125537737126962,6.684071485668968,2378.5993469643145,2291.0889737577045,2390.397102408448,2661.142145149161,1.0,biased,biased,biased,biased,biased,biased,biased
8,8,8,8,8,"[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.",http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['wounds'],1809.3640672189567,1689.347012780662,biased,biased,189.347012780662,309.3640672189572,biased,biased,yes,0.75,1874.0,7.330411524590467,6.872569015657783,6.137882335328452,10.615492377582736,2773.422910083857,2693.887519999776,2566.2593715218363,3344.0999049080856,1.0,biased,biased,biased,biased,biased,biased,biased
9,9,9,9,9,‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism,https://www.alternet.org/2019/08/a-new-low-washington-post-media-critic-blows-up-tucker-carlsons-absurd-lies-about-white-nationalism/,Alternet,white-nationalism,left,Biased,Expresses writer’s opinion,"['blows', 'up', 'absurd', 'lies', 'nationalism', 'white']",1676.7780090315352,1561.1921378447444,biased,biased,61.192137844744366,176.77800903153525,biased,biased,yes,0.75,1874.0,2.056665202674668,2.904128227371117,2.8009767587631496,3.916131930253044,1857.2793394576163,2004.4987455547,1986.5795001080369,2180.301795085611,1.0,biased,biased,biased,biased,biased,biased,biased
